Price,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
Ticker,AAPL,GOOGL,META,MSFT,AAPL,GOOGL,META,MSFT,AAPL,GOOGL,META,MSFT,AAPL,GOOGL,META,MSFT,AAPL,GOOGL,META,MSFT
Date,,,,,,,,,,,,,,,,,,,,
2010-05-26,7.321112155914307,11.817145347595215,,18.898324966430664,7.561640983479803,12.172302684704022,,20.107334437790424,7.3103151349974285,11.805463300659394,,18.558290557180612,7.500159148973819,11.981178941297244,,19.820193949701213,850654000,138884976,,176684100
2010-05-27,7.598232269287109,12.18970012664795,,19.646398544311523,7.614427807021258,12.235679122944225,,19.9184260622793,7.471070509727247,11.95582714981289,,19.44237790583569,7.515756995907723,12.05275668945579,,19.44237790583569,666282400,112251636,,136433600
2010-05-28,7.704098701477051,12.069657325744629,,19.49526596069336,7.779676252373002,12.264013667106958,,19.737068926844085,7.598229906514126,12.004292227834567,,19.389478153862324,7.779376735524413,12.246366520855378,,19.52549187193124,815614800,115676208,,67496900
2010-06-01,7.822566032409668,11.988633155822754,,19.563270568847656,7.97582020976193,12.204611780985655,,19.880635394076673,7.766482683626039,11.932712960375436,,19.283688128318886,7.788376251940288,11.940417958427027,,19.291244605258935,876472800,106565328,,76152400
2010-06-02,7.916138648986816,12.262024879455566,,19.993988037109375,7.941630424999477,12.274451380249301,,20.009100997317233,7.807570159190442,11.966018432270918,,19.442377960783503,7.933832573124409,12.095754131411356,,19.691736039208298,688548000,101530368,,65718800
2010-06-03,7.891244411468506,12.565983772277832,,20.296234130859375,7.964122318833104,12.625632867028198,,20.34912803119285,7.809968018213285,12.295079440165281,,19.956199855500326,7.9530249774593695,12.305268791388318,,20.06198765616728,650106800,145881972,,67837000
2010-06-04,7.67650842666626,12.394990921020508,,19.48770523071289,7.854654511739556,12.656699460734691,,20.07709591515066,7.63662062391214,12.344786722695089,,19.3592480279828,7.743987822334783,12.41984486903125,,19.721950209367638,758304400,156655188,,89832200
2010-06-07,7.5259528160095215,12.066923141479492,,19.109888076782227,7.772178921853108,12.449419709253933,,19.517927627367328,7.51425564046318,12.008020395734507,,19.072105702769587,7.746386833968303,12.40344071275626,,19.5103711525648,886942000,145162692,,80456200
2010-06-08,7.477667331695557,12.048532485961914,,18.97388458251953,7.6117275667009485,12.149438135015226,,19.087228882807683,7.367300163827373,11.868591639832447,,18.626293761551427,7.594932197290722,12.124832337435455,,19.07967240395501,1000770400,107296596,,87355000
2010-06-09,7.293820858001709,11.781105995178223,,18.732086181640625,7.554744085998615,12.150430660271706,,19.283696259604117,7.272527932434945,11.730902746764944,,18.701860261135177,7.541847242560704,12.109174112820824,,19.0570061795669,854630000,109050840,,87794000
2010-06-10,7.513057231903076,12.103954315185547,,18.890764236450195,7.527152145104218,12.140986610130968,,19.00410853361871,7.263831136849954,11.826340440800845,,18.724526030019767,7.343007710062687,11.938926232454525,,18.988995576329323,776356000,103012884,,78930900
